ID,Trials,Conditions,Vertical_GRF,Mtp_agl,Mtp_vel,Ankle_agl,Ankle_vel,Ankle_mom,Ankle_pow,Knee_agl,Knee_vel,Knee_mom,Knee_pow,Hip_agl,Hip_vel,Hip_mom,Hip_pow
1,1,single,1.185573874,6.865605842,188.388699,31.05287149,762.5760177,-0.09079557,-0.496336927,-96.73836595,-704.405121,0.075268116,-0.465099778,82.20088215,322.9137092,-0.058928409,0.345040005
1,2,single,2.376118908,9.723492548,308.0167667,33.19787138,1032.232471,-0.104025013,-0.835248565,-76.74845189,-577.1363107,0.135956924,-1.342663112,62.1507973,439.3386273,-0.134436507,0.271209615
1,3,single,1.187936392,9.286278314,237.9323687,36.82906864,866.1749859,-0.082234147,-0.609879114,-90.4218466,-707.3222999,0.096022402,-0.939677856,71.03742986,327.9399442,-0.069258924,0.65586768
1,4,single,1.715526705,15.94240457,499.2538368,37.59327792,957.7487398,-0.117098283,-0.739166092,-85.93197181,-619.2688251,0.137440626,-0.868655591,61.23255015,271.2621294,-0.057458724,0.298410629
1,5,single,1.316433659,6.650121318,182.0745382,33.51825475,915.7391545,-0.080436524,-0.855456981,-78.7395352,-666.7955836,0.12111377,-0.675228093,59.44433355,351.1550868,-0.064293176,0.539859303
1,6,single,2.168010326,10.2842949,338.1523506,34.87054141,1152.033454,-0.078095177,-0.915873797,-82.45392176,-669.4751658,0.143502201,-1.493806679,67.23201333,470.1757076,-0.149840065,0.536222587
1,1,consecutive,1.447968821,10.20901756,301.724984,32.96620707,719.359244,-0.103895164,-0.566314418,-101.5688604,-632.1421491,0.118453015,-0.735199748,85.78482635,333.4893347,-0.101463281,0.269752337
1,2,consecutive,1.387858827,10.11773668,293.3621857,35.63752172,779.625362,-0.100076162,-0.486367343,-98.84134346,-657.7125139,0.118949962,-0.717093533,82.39962463,372.6749755,-0.100721737,0.276630695
1,3,consecutive,1.441056161,7.732430531,243.3020398,33.16134008,766.6892227,-0.100076124,-0.512284085,-100.0074387,-615.5746335,0.116481849,-0.787222341,87.0875906,379.3816545,-0.115007902,0.341766981
1,4,consecutive,1.540714778,9.26316476,280.0286793,34.70491771,784.5725148,-0.103736981,-0.550957652,-95.92358505,-600.8421547,0.122308459,-0.867276139,80.78730801,376.1037839,-0.10761032,0.289392766
1,5,consecutive,1.351352446,8.83858394,282.2751821,32.62019528,776.0360396,-0.095764696,-0.461152301,-98.84532824,-632.4995011,0.116819826,-0.726547629,86.09595731,376.2589692,-0.11407495,0.321412546
1,6,consecutive,1.424915533,9.212079095,263.1719144,34.90900172,825.7215502,-0.096125325,-0.532602727,-93.80146745,-579.5076054,0.107848151,-0.74794706,80.64962526,355.897613,-0.095034874,0.194634598
2,1,single,1.381123638,6.183617669,239.547343,28.23911354,804.8250455,-0.065244275,-0.477096526,-90.28843517,-540.9836601,0.085633183,-0.654796809,101.944166,435.2681611,-0.078730658,0.291829876
2,2,single,1.756561755,8.717110517,282.0118563,31.00344582,896.9200722,-0.090217329,-0.79240025,-93.90329947,-553.2406203,0.180330699,-1.44981557,103.6274827,504.6449291,-0.116679065,0.719557309
2,3,single,1.543432713,5.226837667,244.0747718,27.05326423,844.9998676,-0.061732535,-0.651608065,-98.40318521,-576.4407858,0.12358,-0.942755327,108.1036141,466.6583325,-0.114270589,0.655543376
2,4,single,2.181082909,8.145172676,321.6356423,31.85761234,1065.854994,-0.085635927,-1.010748645,-98.72815036,-567.7243625,0.103934069,-0.976998526,103.4821369,461.9346514,-0.135929194,0.338687084
2,5,single,1.845864001,8.073327952,398.142607,27.23774432,1055.988692,-0.106427677,-1.107382776,-93.51802796,-528.1783354,0.102982944,-0.779545917,92.21653457,381.5216517,-0.105019273,0.249927436
2,6,single,1.51262538,8.64021985,316.5807689,29.85072766,995.0118633,-0.074501662,-0.935012631,-88.91760827,-601.7300765,0.126736946,-0.892561934,100.5969073,491.6065402,-0.12036971,0.484397987
2,1,consecutive,1.469865551,9.767835689,328.7908549,32.0062968,831.375433,-0.085003737,-0.418093599,-93.29063924,-601.8823545,0.11037805,-0.707208374,94.86891125,509.8332703,-0.161232284,0.407373046
2,2,consecutive,1.700483672,8.507477589,264.5711807,30.80453831,856.5389825,-0.097072656,-0.499186229,-91.60248349,-589.9305356,0.124623513,-0.830181455,95.57679571,507.4306018,-0.174324249,0.530216655
2,3,consecutive,1.584023314,9.869798153,347.0039104,31.63614135,859.6884738,-0.093792913,-0.523939206,-93.56771004,-626.2616786,0.126878691,-1.144498157,98.7213012,565.5372755,-0.190927084,0.738241068
2,4,consecutive,1.663150879,8.514689178,273.6145686,31.34325088,889.3223965,-0.090771037,-0.543112141,-88.92769347,-570.322358,0.138670874,-1.144338843,92.20021931,589.4583118,-0.177378836,0.683136503
2,5,consecutive,1.483659057,9.391541372,288.0164352,30.34867813,868.1581572,-0.072895715,-0.475949744,-92.07682807,-570.3820248,0.102271291,-0.824901548,102.3613058,531.7292668,-0.188296914,0.419711656
2,6,consecutive,1.516289334,10.8191418,375.3788331,29.6896283,846.8141993,-0.087522072,-0.51734027,-93.58417447,-575.2171376,0.122144442,-1.018965879,100.4492336,585.6862511,-0.183389527,0.457321552
3,1,single,2.92422523,7.656283266,238.5165446,26.80499055,1206.623445,-0.056303518,-0.764300715,-90.73025202,-730.1611918,0.144034122,-1.534092255,87.94007122,642.0295138,-0.229007802,1.076156201
3,2,single,3.833797258,9.548285838,279.8537758,28.98845479,1252.939948,-0.069503301,-1.064006488,-67.78252384,-770.2472532,0.187839128,-2.171425745,52.29725248,600.4772739,-0.247394995,1.060461537
3,3,single,3.728581098,13.11282749,477.9094145,29.01438607,1338.336392,-0.151538966,-1.958108672,-70.56641159,-676.7091579,0.186357118,-2.192034865,47.98297159,511.6802115,-0.278955503,0.900601596
3,4,single,3.660461943,12.69193484,422.0686467,29.67342889,1325.882798,-0.082014677,-1.060991637,-67.88877715,-691.8344183,0.151495652,-1.681815399,48.70836115,552.5263475,-0.22747595,0.724779612
3,5,single,2.362204055,9.465446525,319.9264353,31.7487834,1066.226899,-0.086096853,-1.154431169,-92.9990579,-693.6903452,0.153957355,-1.556659067,78.34209638,484.1107722,-0.154835042,0.687186708
3,6,single,2.307381243,12.66064577,446.4799276,31.06442256,1293.661478,-0.081394622,-1.159567008,-79.83872761,-678.7364299,0.149513804,-1.535503243,55.85394726,502.7179257,-0.147228626,0.664358506
3,1,consecutive,2.535640447,15.82391586,506.9668282,31.09512568,1186.012331,-0.091216735,-0.627888761,-87.27958186,-664.0964552,0.169008487,-1.273462392,82.45371706,581.5265154,-0.190755094,0.883321851
3,2,consecutive,2.346134452,17.49261718,554.7504154,33.08269531,1128.824142,-0.111384301,-1.033404711,-86.12880282,-615.6696498,0.133396292,-1.160993254,73.58798572,459.0241226,-0.178161527,0.420057691
3,3,consecutive,2.350244618,20.35606289,679.2735419,30.82596674,1171.883794,-0.100543196,-0.834789084,-88.23736786,-677.8106234,0.156453987,-0.968953291,85.10035055,494.1712841,-0.187253909,0.553717595
3,4,consecutive,2.166751336,17.18824866,615.5182244,30.27196034,1207.491031,-0.083536309,-0.834154457,-89.70550502,-682.6658832,0.122304715,-1.05826806,86.28815473,517.487745,-0.158622187,0.589435887
3,5,consecutive,1.682326283,22.05242266,743.8337271,31.31293065,1135.181738,-0.111549041,-0.848386394,-88.36134785,-686.4104842,0.101822753,-0.71687812,84.27891052,440.3555145,-0.121136875,0.344971074
3,6,consecutive,2.080126644,21.11155023,709.6256837,29.71656704,1145.281647,-0.091998841,-0.705765416,-85.37403094,-670.1339552,0.138933245,-0.903701615,82.6695534,484.7648557,-0.162523348,0.54630513
4,1,single,2.90305219,5.48828862,169.0084719,27.86561709,924.539994,-0.077374537,-0.753800367,-91.03983372,-820.0570076,0.165351443,-1.976809025,92.36983714,679.5700195,-0.187140341,1.264900798
4,2,single,2.179645149,4.163580278,137.9128013,25.84229587,876.0318023,-0.08749309,-1.074486871,-87.35846758,-626.4358032,0.106478533,-1.165010255,94.38859423,553.6749989,-0.155027379,0.699444943
4,3,single,2.042254957,4.410176822,126.3085009,29.60990804,830.638281,-0.094613791,-0.862126135,-91.03976641,-704.9480246,0.12311044,-1.513144406,91.43255785,641.8379549,-0.103708867,0.914779904
4,4,single,1.989901727,4.436818447,114.2401266,27.46937397,827.4563394,-0.085339835,-0.854149887,-90.88637661,-684.0710635,0.115553944,-1.125680228,99.07009997,631.2445104,-0.140183331,1.060430472
4,5,single,2.195120121,4.194721296,119.2229234,28.43356961,839.3230644,-0.077370421,-0.779743198,-89.19052593,-685.3523084,0.12294179,-1.030439147,91.85759646,495.2273911,-0.196768584,0.950696814
4,6,single,2.332545118,4.256236599,147.9076385,26.02403106,943.6949047,-0.054150518,-0.802209044,-85.67721732,-739.1305732,0.105449295,-1.214689371,91.21217998,603.0046712,-0.142791953,0.875404856
4,1,consecutive,1.31832644,7.29748031,229.8953763,28.2540736,754.0436394,-0.086324372,-0.745835426,-93.77137946,-609.5877877,0.106846343,-0.901541306,96.57850244,433.0480231,-0.121331708,0.631940759
4,2,consecutive,1.720186507,9.028620846,276.974294,29.13633228,841.8133559,-0.083224156,-0.58417162,-91.92177234,-613.5646228,0.117103036,-1.016630251,95.16396203,510.8166739,-0.161597399,0.662379784
4,3,consecutive,1.636723868,8.357764879,272.1471928,29.55962693,838.8252425,-0.089372675,-0.719631616,-95.61487286,-608.3042772,0.107716346,-0.867496795,98.62819849,471.4324751,-0.131827009,0.534947473
4,4,consecutive,1.787352681,8.632404316,280.4828348,29.54834137,896.3273328,-0.086614902,-0.644902822,-93.92121519,-625.9302942,0.104628745,-1.011081466,99.1672129,556.0334871,-0.140953379,0.711063636
4,5,consecutive,1.872280018,7.901455734,253.4205564,28.9691991,939.8549061,-0.079737508,-0.732693468,-92.09448314,-647.8805603,0.108167588,-1.042216071,94.35984672,553.138701,-0.14577248,0.518962897
4,6,consecutive,1.968200271,9.596333319,311.5587114,28.67849633,899.3051081,-0.100080537,-0.568307242,-92.91400137,-640.8900877,0.109820543,-1.081167285,92.24473925,564.5370085,-0.160492072,0.708498531
5,1,single,1.535693519,9.153844746,319.1805067,19.92628978,1178.086282,-0.067529072,-0.934006129,-60.16264725,-618.693013,0.090512005,-0.689285776,47.16343099,349.696329,-0.089698109,0.477471096
5,2,single,1.8862871,7.057805234,287.9593082,21.14746552,1001.406334,-0.128958348,-1.409369012,-68.88218502,-619.7551244,0.114779094,-0.764753841,64.93562292,393.2994122,-0.1188215,0.619740154
5,3,single,2.021914722,8.218622774,312.8270498,18.12745353,1114.03471,-0.08840996,-1.237487314,-62.91636971,-622.7971586,0.129289164,-1.015733884,58.86136448,413.5878786,-0.15425453,0.486171651
5,4,single,2.527887293,8.365633479,355.657885,19.7511344,1212.928695,-0.104594338,-1.50759006,-62.54117715,-555.7673824,0.167464353,-1.340898909,52.44192368,394.2282188,-0.129313072,0.592491442
5,5,single,1.632197767,8.852756904,319.5371706,18.91647455,1098.965281,-0.068472204,-0.93032771,-59.43609023,-630.2544182,0.097331426,-0.936544019,50.98979507,324.6837127,-0.102439998,0.469966135
5,6,single,1.698656961,13.78787587,467.6071452,22.16828903,1144.748215,-0.079405832,-1.003813576,-65.49422851,-645.598894,0.112566651,-0.657900112,52.96186033,334.9870407,-0.085833622,0.375694368
5,1,consecutive,1.677617531,13.76722661,474.620294,25.89310849,960.8770314,-0.127692248,-0.850240338,-82.26567542,-534.7399189,0.142413036,-0.804170807,64.10247896,443.9992037,-0.087884893,0.391058646
5,2,consecutive,1.917180478,11.543804,416.288811,25.93120626,1000.467145,-0.126007381,-0.8815245,-75.53695338,-549.7417542,0.148783244,-0.656790199,64.70559785,404.6135637,-0.091502146,0.290283607
5,3,consecutive,1.447417671,12.23519807,418.9502207,27.13141207,981.2734304,-0.093952109,-0.584819142,-85.39248848,-590.5384794,0.101521219,-0.605888001,79.70275971,409.4684785,-0.101396227,0.312654351
5,4,consecutive,1.633117273,12.91145252,440.630705,25.98368202,989.018261,-0.11166916,-0.762064751,-82.95448947,-551.0777792,0.119428932,-0.603330233,73.05537251,408.9845842,-0.117458654,0.245731275
5,5,consecutive,1.660698154,12.91653887,445.220648,26.44332508,961.2380159,-0.102937139,-0.587265688,-81.13893023,-569.4706559,0.124037878,-0.737907961,69.85683321,426.0938475,-0.083990828,0.311956997
5,6,consecutive,1.453664348,12.54365013,422.1764958,26.48379831,926.7295668,-0.112691991,-0.462314634,-87.39562727,-605.0371166,0.121931067,-0.518126313,73.13659446,408.908402,-0.07645787,0.312162432
