ID,Trials,Conditions,JumpHeight,TakeoffVel,pKAM
1,1,single,0.418278936,2.559923258,0.534057845
1,2,single,0.409606708,2.623069241,0.469370791
1,3,single,0.431835711,2.545150209,0.307517573
1,4,single,0.413159419,2.51778367,0.190968603
1,5,single,0.415132872,2.548315613,0.393289812
1,6,single,0.414250927,2.54932827,0.182606418
1,1,consecutive,0.415640068,2.583509236,0.178888537
1,2,consecutive,0.403978195,2.521113298,0.216622422
1,3,consecutive,0.411093924,2.593974388,0.186223841
1,4,consecutive,0.403116531,2.558079786,0.185359361
1,5,consecutive,0.394580609,2.575650638,0.155164538
1,6,consecutive,0.384272692,2.508238765,0.171801004
2,1,single,0.454449957,2.489270027,0.443923003
2,2,single,0.492498483,2.479797893,0.112539646
2,3,single,0.499830301,2.672517531,0.221815994
2,4,single,0.500473692,2.533070659,0.258658596
2,5,single,0.498429361,2.5437618,0.238058399
2,6,single,0.466314967,2.486184241,0.178378085
2,1,consecutive,0.407665918,2.547304763,0.155450193
2,2,consecutive,0.417276869,2.444364744,0.134812806
2,3,consecutive,0.428722375,2.54027601,0.263257454
2,4,consecutive,0.409811529,2.420758389,0.194386656
2,5,consecutive,0.415483081,2.421236855,0.178313178
2,6,consecutive,0.422964759,2.448238602,0.204000945
3,1,single,0.458711934,2.50418943,1.30364345
3,2,single,0.477676077,2.63924625,0.697780065
3,3,single,0.499518147,2.611927735,0.952028648
3,4,single,0.466651089,2.631122974,0.545864445
3,5,single,0.472318319,2.60155238,0.653736034
3,6,single,0.475662189,2.628975761,0.672620391
3,1,consecutive,0.40453557,2.467547465,0.910685547
3,2,consecutive,0.410307758,2.428256971,0.822394109
3,3,consecutive,0.433260693,2.436349848,0.92130285
3,4,consecutive,0.419730485,2.427406551,0.820748837
3,5,consecutive,0.417646558,2.448347958,0.461018881
3,6,consecutive,0.417253241,2.390672146,0.711603269
4,1,single,0.455750158,2.492709102,0.454179135
4,2,single,0.45521557,2.452491211,0.217692743
4,3,single,0.437840535,2.43388865,0.378379404
4,4,single,0.462729276,2.448975213,0.91063137
4,5,single,0.428662576,2.487047405,0.733625451
4,6,single,0.44849761,2.412362105,0.626714021
4,1,consecutive,0.413291993,2.405611176,0.395848666
4,2,consecutive,0.407545634,2.464374668,0.455065275
4,3,consecutive,0.419824388,2.496261691,0.338046034
4,4,consecutive,0.419496646,2.5201368,0.415582959
4,5,consecutive,0.409453967,2.488573211,0.454882786
4,6,consecutive,0.419568695,2.477614842,0.392145692
5,1,single,0.432975488,2.587895309,0.20551892
5,2,single,0.448810803,2.646566223,0.301855865
5,3,single,0.466554373,2.660065515,0.578404995
5,4,single,0.465020241,2.615233742,0.481275057
5,5,single,0.458651117,2.658369692,0.474504511
5,6,single,0.441360219,2.56785335,0.358949467
5,1,consecutive,0.405493422,2.523868111,0.292633411
5,2,consecutive,0.418760628,2.512711925,0.377725659
5,3,consecutive,0.375196962,2.589939545,0.256563001
5,4,consecutive,0.355592858,2.437299851,0.246250257
5,5,consecutive,0.376132882,2.429189748,0.300400994
5,6,consecutive,0.365285873,2.444746164,0.236991389
6,1,single,0.371691028,2.432938496,0.401202979
6,2,single,0.379828668,2.484444377,0.552967342
6,3,single,0.365643982,2.473601384,0.180952837
6,4,single,0.367516378,2.514667471,0.219908433
6,5,single,0.37554007,2.461029314,0.168801749
6,6,single,0.365653594,2.482364512,0.413328466
6,1,consecutive,0.35137182,2.412088728,0.281062817
6,2,consecutive,0.343505597,2.422765155,0.234679286
6,3,consecutive,0.348155079,2.434474242,0.319006764
6,4,consecutive,0.380491085,2.45878471,0.326431748
6,5,consecutive,0.364765763,2.471919345,0.27508962
6,6,consecutive,0.355329235,2.490813429,0.297566545
7,1,single,0.367165203,2.469929092,0.548421479
7,2,single,0.373578464,2.401831685,0.360746552
7,3,single,0.377898781,2.440807849,0.354926395
7,4,single,0.377028073,2.302784373,0.38512172
7,5,single,0.361484043,2.308019725,0.351338966
7,6,single,0.362591306,2.364065232,0.298475241
7,1,consecutive,0.30752961,2.285264676,0.536083427
7,2,consecutive,0.329354592,2.269339631,0.438884098
7,3,consecutive,0.339352027,2.235923853,0.489504066
7,4,consecutive,0.324436563,2.290782991,0.487502346
7,5,consecutive,0.314427848,2.174160151,0.513648387
7,6,consecutive,0.317735573,2.202580605,0.56238868
8,1,single,0.452624764,2.585198939,0.608878312
8,2,single,0.437813832,2.548426929,0.194627735
8,3,single,0.439302517,2.576640371,0.590703223
8,4,single,0.429364119,2.480036938,0.166809637
8,5,single,0.438571811,2.532674478,0.17547109
8,6,single,0.438258332,2.520492206,0.21869139
8,1,consecutive,0.420538891,2.54039301,0.283534132
8,2,consecutive,0.446941465,2.592426405,0.463250185
8,3,consecutive,0.443559658,2.621959333,0.239157846
8,4,consecutive,0.426481483,2.632249648,0.356588049
8,5,consecutive,0.419359276,2.543700578,0.292452331
8,6,consecutive,0.43500278,2.491615409,0.301231834
9,1,single,0.446473558,2.598174084,0.364828388
9,2,single,0.43393876,2.475966265,0.349511147
9,3,single,0.428082573,2.427962524,0.348602828
9,4,single,0.435142335,2.485318426,0.469303462
9,5,single,0.424213721,2.456751034,0.663145975
9,6,single,0.398568439,2.412990225,0.504850512
9,1,consecutive,0.399395729,2.524262218,0.531081318
9,2,consecutive,0.408998345,2.689385073,0.363242842
9,3,consecutive,0.39677403,2.614958251,0.496123322
9,4,consecutive,0.392343639,2.566196628,0.491749818
9,5,consecutive,0.380128942,2.438428464,0.433814066
9,6,consecutive,0.37824467,2.535787056,0.417731954
10,1,single,0.469033477,2.597501734,0.450768088
10,2,single,0.46846545,2.630220365,0.301361884
10,3,single,0.472682684,2.714637832,0.22665796
10,4,single,0.472177552,2.688202917,0.392215054
10,5,single,0.472337136,2.67806333,0.289979866
10,6,single,0.474037777,2.721549746,0.174163565
10,1,consecutive,0.407563661,2.579628656,0.259593166
10,2,consecutive,0.435980534,2.591190794,0.257585896
10,3,consecutive,0.425798768,2.601671003,0.210109202
10,4,consecutive,0.445616337,2.595183151,0.332548216
10,5,consecutive,0.44134783,2.641867276,0.27071169
10,6,consecutive,0.430202639,2.577935093,0.244909025
11,1,single,0.418909965,2.380356869,0.634907383
11,2,single,0.413131292,2.353684814,0.502002448
11,3,single,0.434115658,2.354821274,0.71358017
11,4,single,0.420530718,2.435814146,0.393409297
11,5,single,0.422580002,2.412551234,0.995840561
11,6,single,0.405576101,2.313655922,0.600923249
11,1,consecutive,0.429348113,2.555586896,0.345836215
11,2,consecutive,0.432110077,2.479304908,0.430899325
11,3,consecutive,0.42745611,2.518257786,0.464025896
11,4,consecutive,0.437068635,2.478545118,0.362879173
11,5,consecutive,0.42339631,2.536742205,0.424683992
11,6,consecutive,0.442195421,2.426633742,0.305253335
12,1,single,0.423999479,2.465264703,0.222912337
12,2,single,0.44777511,2.604539376,0.290859863
12,3,single,0.441654046,2.557209742,0.530422956
