ID,Trials,Conditions,Vertical_GRF,Mtp_agl,Mtp_vel,Ankle_agl,Ankle_vel,Ankle_mom,Ankle_pow,Knee_agl,Knee_vel,Knee_mom,Knee_pow,Hip_agl,Hip_vel,Hip_mom,Hip_pow
1,1,single,1.155886073,7.723799234,276.331739,30.2267502,-923.551854,-0.086037764,0.49869702,-84.81615801,841.6483303,0.08936538,0.6795655,89.8527213,-458.1446659,-0.111933487,0.271807692
1,2,single,1.197474485,9.42027071,322.1659716,30.42495382,-853.4705243,-0.085838795,0.408640238,-87.68841779,822.5705183,0.104517339,0.784849672,88.26290792,-439.6612841,-0.091907837,0.229195921
1,3,single,1.252387643,8.257547398,295.6061623,30.75295501,-935.8588241,-0.094746927,0.515885817,-83.19281875,818.0244189,0.096657709,0.61788414,85.73112786,-482.2160695,-0.102500028,0.295601943
1,4,single,1.251151624,6.667884085,243.541473,31.5168853,-937.332381,-0.088983512,0.514442661,-85.68702379,793.8617364,0.10317069,0.610933233,85.28314901,-475.5185136,-0.107960778,0.273072533
1,5,single,1.383780758,8.06337895,299.1093834,30.88796469,-950.3348173,-0.104273047,0.508534568,-81.83247944,854.2429228,0.11256926,0.689035515,80.29379356,-453.1108702,-0.094791209,0.221615317
1,6,single,1.335578649,6.872959503,270.4742709,31.84773307,-924.4053048,-0.098504211,0.470793165,-87.0305211,838.974521,0.1059124,0.657910424,83.76300035,-452.0696718,-0.103448788,0.259406274
1,1,consecutive,1.239206019,7.677704641,298.1348761,33.2727069,-907.9167472,-0.09579224,0.468609697,-101.2216759,785.6202227,0.108303551,0.60165312,85.67548753,-465.4332113,-0.10736584,0.268420601
1,2,consecutive,1.287153106,5.589989256,232.4711608,36.30368148,-945.8467652,-0.089633011,0.507738538,-97.90839079,739.3637276,0.114093652,0.598870321,81.36020454,-429.7515597,-0.094263585,0.256027886
1,3,consecutive,1.32747837,7.046848873,279.313972,32.84579746,-884.3248853,-0.101829384,0.460490185,-96.99358766,757.983422,0.110662498,0.617047683,85.62453885,-434.4048546,-0.11927093,0.295611871
1,4,consecutive,1.343382778,7.635526341,282.0078405,33.60364105,-891.1835543,-0.10376163,0.471029787,-94.61761357,761.1454518,0.118363365,0.654431743,78.75865968,-404.0947967,-0.108212326,0.250769326
1,5,consecutive,1.288867925,6.947611817,268.0498265,32.40331829,-876.7223463,-0.096832473,0.443585331,-97.21046656,758.6784816,0.110915633,0.577825431,84.82578882,-437.0259966,-0.107874565,0.285670977
1,6,consecutive,1.214966188,7.079985535,255.6992942,33.67495673,-880.0545394,-0.091716189,0.447290796,-95.49269186,737.0692849,0.100155418,0.548274993,85.77837733,-407.1149226,-0.108909711,0.263645848
2,1,single,1.357054349,9.232533133,339.5477281,31.94474843,-896.1143971,-0.092014063,0.468944703,-89.09679712,977.6517351,0.104488864,0.875604081,93.58733611,-660.6913797,-0.147556863,0.44295132
2,2,single,1.274563384,8.559312684,321.5136432,30.31013243,-878.4597226,-0.085725004,0.475901524,-90.47054513,989.3205553,0.098594454,0.900159482,99.28672584,-679.2835549,-0.155707154,0.44140249
2,3,single,1.36403415,7.75311396,365.3141785,31.58928971,-924.1100902,-0.087714866,0.454370744,-93.10869847,1006.664843,0.124432139,0.943751109,92.61161508,-657.0458336,-0.123468999,0.513958119
2,4,single,1.361247438,13.62604726,458.8670059,32.76789653,-874.6059127,-0.095567515,0.417800092,-90.88064772,973.5161645,0.101169029,0.944359782,96.93393778,-648.1740076,-0.150341193,0.476552681
2,5,single,1.419378025,6.750475589,349.7724422,31.50428163,-1026.595439,-0.094867181,0.532314136,-87.68913539,987.091986,0.109193244,0.862914246,94.86576943,-712.1682536,-0.154181573,0.82755791
2,6,single,1.266805422,8.594592746,348.3646667,32.31526934,-914.4661577,-0.083681913,0.470591488,-93.23368024,924.3480968,0.10333816,0.849544026,98.10010558,-588.8052137,-0.149054362,0.428741405
2,1,consecutive,1.440618161,8.03177253,323.2612347,32.3588597,-896.2841565,-0.09354349,0.448814675,-92.3688376,866.0487546,0.113308441,0.654465699,92.71876758,-551.451578,-0.162487447,0.458015227
2,2,consecutive,1.427165229,8.658728159,360.3411233,32.45417618,-919.3261455,-0.091903376,0.44230872,-93.38296107,881.6828878,0.115027978,0.698472829,92.21980452,-568.6843273,-0.153236506,0.38916537
2,3,consecutive,1.377323762,7.951951378,364.4404196,30.54684902,-924.737876,-0.088646959,0.458063238,-94.23874358,958.4952136,0.10724785,0.656040495,96.49796506,-627.9594752,-0.170984971,0.511962034
2,4,consecutive,1.443416539,8.775140631,357.9216308,31.63395463,-940.2270815,-0.096556949,0.444485305,-89.27199234,882.6512901,0.10148622,0.704667873,90.55645223,-528.4564123,-0.173159976,0.437443552
2,5,consecutive,1.237980665,6.298092984,297.842456,30.28557679,-982.7646177,-0.077567839,0.488189017,-91.19765647,892.5629058,0.091137744,0.618527508,99.91242305,-613.7663284,-0.173367608,0.639905524
2,6,consecutive,1.309642556,11.20937462,446.2929466,28.94976232,-812.9337782,-0.087598767,0.365913248,-94.61686161,876.7948252,0.097480183,0.686023195,98.07541352,-572.4857874,-0.171151592,0.460465723
3,1,single,1.093439403,8.125194036,367.6151631,30.74381663,-879.4559578,-0.079935991,0.562197478,-100.8760534,885.9076744,0.085587473,0.554117633,104.1695913,-574.7540325,-0.102942143,0.355084993
3,2,single,1.104541211,8.02162042,362.9315743,32.0105932,-973.4928622,-0.0804523,0.656815712,-96.64099725,963.1910208,0.08193519,0.663599032,100.7074728,-605.5105115,-0.112580994,0.436620073
3,3,single,1.058228704,10.26686577,413.239263,33.31494152,-885.3727071,-0.080776651,0.569426495,-103.3452305,951.4713064,0.0773727,0.648591698,103.78195,-591.7097375,-0.118582652,0.397582903
3,4,single,1.059323218,6.81917975,318.1601189,32.16963689,-932.1131302,-0.078433374,0.607055688,-103.0865982,976.835812,0.081693666,0.58894478,104.5822291,-594.0954436,-0.116703918,0.373908848
3,5,single,1.06661131,7.06815226,335.2163393,32.85244392,-965.8672023,-0.078554381,0.64745375,-102.2703223,951.2591949,0.083333054,0.555993144,105.8284444,-594.0079751,-0.111465597,0.380097726
3,6,single,1.069919842,10.05000323,418.4915118,32.35953584,-948.4416911,-0.079721344,0.591697843,-99.83508513,942.0359993,0.074099211,0.667420033,103.1598035,-571.4470087,-0.105709028,0.434234064
3,1,consecutive,1.265454258,7.480096122,329.2117219,30.87987145,-905.0039942,-0.094177172,0.602861817,-85.84394481,801.8508323,0.09314798,0.558025098,78.90451011,-443.7230175,-0.110234691,0.314716542
3,2,consecutive,1.29294494,7.356054881,326.9493439,33.575661,-954.623682,-0.091302195,0.652768409,-88.86789287,838.6169583,0.1058915,0.609704977,75.50739464,-461.6245327,-0.108923057,0.293492251
3,3,consecutive,1.179139123,7.880277617,351.0574314,30.33356845,-904.0021992,-0.087379057,0.590458096,-89.7227261,854.4451722,0.087655045,0.532816298,87.89413037,-500.2593936,-0.130147595,0.366304503
3,4,consecutive,1.156161974,6.793301488,332.098871,30.72334653,-893.3848627,-0.085201215,0.579668356,-90.08479236,840.5499134,0.088159494,0.55596313,86.26666685,-505.1053817,-0.111214961,0.330652797
3,5,consecutive,1.173505679,8.294342371,374.6471886,31.03497249,-873.748379,-0.090785019,0.576430192,-89.58153942,825.2803649,0.084497497,0.518597499,87.05043428,-467.3747718,-0.106565654,0.348103051
3,6,consecutive,1.243904894,6.689304533,328.7525721,29.74375618,-918.000978,-0.088433077,0.604023559,-85.33001602,832.4439113,0.097761186,0.593409426,81.95782946,-479.3594864,-0.11645735,0.315942921
4,1,single,1.0742981,10.94298488,410.1596747,28.07059086,-862.093871,-0.082639749,0.428667602,-87.51963589,991.8273225,0.083742823,0.768816223,97.37475703,-661.6025472,-0.122846531,0.371084293
4,2,single,1.138646552,9.671260255,388.0752382,27.4365777,-869.9597682,-0.086628492,0.491222731,-86.72401735,990.9505427,0.084404267,0.683983139,97.20906683,-677.3289046,-0.114896862,0.361518424
4,3,single,1.07975681,10.90847731,418.8905098,25.27811627,-810.4984137,-0.083565572,0.421182299,-86.77205797,1017.240809,0.086345655,0.748837228,99.83872384,-705.1909466,-0.116225752,0.342856423
4,4,single,1.094410964,10.33159906,387.3140358,23.74154645,-822.3688616,-0.083865638,0.436826523,-86.05935394,1022.160671,0.08129895,0.686012767,100.0767361,-705.4759586,-0.10451149,0.41391201
4,5,single,1.054025274,9.88051699,392.6359424,27.20842602,-820.2242172,-0.079519039,0.419643435,-89.13675462,1003.14704,0.08356002,0.731720221,100.0656692,-650.8492173,-0.105112302,0.336385099
4,6,single,1.093908988,9.647532666,378.6667687,25.47497777,-827.8925956,-0.083990677,0.444380482,-87.29766158,1004.853359,0.079576355,0.656015705,100.6561254,-686.1047198,-0.116285655,0.382634832
4,1,consecutive,1.062878252,9.396815111,364.780031,26.19195152,-764.8412425,-0.084577762,0.430025855,-93.36347859,891.3060265,0.069780883,0.560982048,97.61496949,-614.4788746,-0.125675671,0.455674359
4,2,consecutive,1.135772632,8.727963848,339.5085796,29.01628652,-793.5792237,-0.085769113,0.447089596,-91.74034289,877.8861752,0.077800016,0.557649407,95.04525895,-604.7621111,-0.143939582,0.462365554
4,3,consecutive,1.081656195,8.169891593,334.2633615,29.19644485,-839.7724876,-0.082794086,0.451550511,-94.75721113,912.1678938,0.075755096,0.553594686,98.23314435,-616.378128,-0.12295147,0.421475231
4,4,consecutive,1.045983938,8.450919223,340.1936773,28.90198171,-825.5745217,-0.081469236,0.435805087,-93.32970913,913.8217095,0.07223456,0.603818896,99.80496935,-602.0490011,-0.120925058,0.420454173
4,5,consecutive,1.059473321,7.050465314,300.843399,29.36280264,-868.5945945,-0.080455265,0.46967141,-92.06035367,880.593519,0.078401154,0.547397175,94.93041738,-582.4200381,-0.12267723,0.390359285
4,6,consecutive,1.096112246,9.060954583,369.7034235,28.94573852,-867.5545233,-0.086368294,0.437678735,-93.47353646,892.8632534,0.074243147,0.582268913,94.62652828,-545.8441677,-0.126643428,0.406621683
5,1,single,1.309968883,7.460043006,338.7899588,24.47333176,-925.1087259,-0.101046658,0.705998706,-81.02795473,782.7650229,0.106472269,0.613462509,80.74237707,-487.109232,-0.101112067,0.298781671
5,2,single,1.433360822,8.329145413,345.5803688,24.06446749,-921.3418732,-0.114031363,0.727477057,-79.21426166,737.5526417,0.111591243,0.661420709,76.12767483,-465.1367735,-0.090717341,0.302633971
5,3,single,1.43170666,7.488610288,343.757343,23.78756319,-948.595112,-0.109627659,0.71248816,-80.15836865,793.2797785,0.119930048,0.661384694,78.2880404,-498.1472959,-0.094878116,0.313009468
5,4,single,1.367010263,6.703127117,345.0624118,25.05463947,-955.6947852,-0.104444856,0.689913575,-82.80484086,821.2413933,0.110652923,0.622946495,82.09643318,-535.4080904,-0.106558186,0.343248663
5,5,single,1.360445684,10.41724041,405.5817692,24.68393501,-910.4820616,-0.107462277,0.6530471,-81.82564788,784.0117787,0.110812484,0.681305343,80.58897173,-491.9826826,-0.101776307,0.306333239
5,6,single,1.225667,9.416957655,370.7172647,25.83418387,-939.224439,-0.096590758,0.638451367,-85.09854353,791.305221,0.09766932,0.622662232,86.54863404,-495.2245949,-0.110133991,0.348643462
5,1,consecutive,1.646313559,6.055180576,265.302412,25.1076203,-928.3365175,-0.126589864,0.655722187,-81.21514947,725.7974437,0.124885153,0.597529163,67.28734815,-426.0962983,-0.093813523,0.237286552
5,2,consecutive,1.818331007,6.309000474,255.7362612,25.74287664,-969.4652751,-0.12863514,0.708724523,-74.09453235,720.9211666,0.144728812,0.661817586,63.43233272,-416.2453128,-0.08657085,0.21219198
5,3,consecutive,1.331290439,6.148864925,262.0006381,25.94418559,-943.8019551,-0.098252497,0.639224381,-83.02502259,714.9081115,0.103756664,0.558307923,78.00980036,-419.3598723,-0.098941827,0.282718572
5,4,consecutive,1.568134062,5.792567902,223.5241695,27.10861316,-901.8659711,-0.112986606,0.610807854,-80.31633002,631.6707666,0.124079581,0.592783511,73.60834912,-404.5312028,-0.10749143,0.274669758
5,5,consecutive,1.591863652,5.251027019,235.5946079,25.70619788,-923.8885289,-0.102661059,0.646834487,-78.34469864,693.1633437,0.128743296,0.625436523,66.85735956,-390.6298861,-0.091086066,0.264844678
5,6,consecutive,1.598571044,6.055301488,231.6817737,26.63019551,-831.3414401,-0.12453603,0.576038485,-84.23842173,649.1169842,0.125618239,0.580906841,69.13937749,-367.4024362,-0.08082354,0.23721896
6,1,single,1.380269537,6.348684782,206.4413281,32.64207151,-905.7296283,-0.089146294,0.565950259,-83.07880759,823.1079343,0.110830895,0.509530291,79.63861481,-465.1525896,-0.107245705,0.391805459
6,2,single,1.304276516,7.381953091,243.2923109,33.39722472,-872.73957,-0.088077003,0.509476726,-88.00673862,776.5351654,0.100057847,0.54186121,83.59081422,-431.9744663,-0.11293775,0.371531843
6,3,single,1.417265317,6.182161984,242.4254384,34.10463415,-919.3027209,-0.096168867,0.575858107,-81.81171353,782.4735719,0.112151357,0.52545587,74.95219118,-438.1921056,-0.101187022,0.341215896
6,4,single,1.451363154,8.460585074,260.5547704,33.01475112,-892.8492467,-0.100937646,0.568748996,-79.91292935,747.036546,0.11432093,0.56504887,71.2533967,-409.2981952,-0.093572091,0.337484497
